plm,k,output_name,embedding_config_id,dataset_id,job_id,n_train_rows,n_eval_rows,total_seconds,status
esm2_150m,3,bench-v1-K3-v226-lineage-esm2_150m,500a0c59-be09-424d-9d51-b7997629c95a,,c545d2fd-031f-4520-8ad7-db2efb3e6c98,,,,dispatched
esm2_150m,5,bench-v1-K5-v226-lineage-esm2_150m,500a0c59-be09-424d-9d51-b7997629c95a,,4774b72a-7dd3-4bb5-8c7f-dec2d82d4480,,,,dispatched
esm2_150m,10,bench-v1-K10-v226-lineage-esm2_150m,500a0c59-be09-424d-9d51-b7997629c95a,,17760b66-cab8-4c12-a6e8-863315d936fd,,,,dispatched
esm2_650m,3,bench-v1-K3-v226-lineage-esm2_650m,c2e9dda3-e505-4170-b50d-435a451761ac,,2652e0df-e75d-4957-8426-00eac3019591,,,,dispatched
esm2_650m,5,bench-v1-K5-v226-lineage-esm2_650m,c2e9dda3-e505-4170-b50d-435a451761ac,,4851c3a0-e4ba-4d08-8c05-fe6aeaf2eb09,,,,dispatched
esm2_650m,10,bench-v1-K10-v226-lineage-esm2_650m,c2e9dda3-e505-4170-b50d-435a451761ac,,105a1077-62ce-4066-a827-dbe35dc49c69,,,,dispatched
esm2_3b,3,bench-v1-K3-v226-lineage-esm2_3b,55e43f1c-1a3b-4b1d-88c0-26b433f5f673,,dce5ba93-e180-4f84-9d83-179842f4445a,,,,dispatched
esm2_3b,5,bench-v1-K5-v226-lineage-esm2_3b,55e43f1c-1a3b-4b1d-88c0-26b433f5f673,,c4c16c27-d195-45ba-8005-f7030e4fd466,,,,dispatched
esm2_3b,10,bench-v1-K10-v226-lineage-esm2_3b,55e43f1c-1a3b-4b1d-88c0-26b433f5f673,,2d28e148-b1bf-4f5a-963e-7e5fc45ab660,,,,dispatched
prot_t5,3,bench-v1-K3-v226-lineage-prot_t5,084943c6-fec1-441d-bdc5-63b0268ada1b,,d917a681-6081-42f3-bab9-b52bc0aa8562,,,,dispatched
prot_t5,5,bench-v1-K5-v226-lineage-prot_t5,084943c6-fec1-441d-bdc5-63b0268ada1b,,002387b0-ed56-4956-81ae-fe73a74bb6cd,,,,dispatched
prot_t5,10,bench-v1-K10-v226-lineage-prot_t5,084943c6-fec1-441d-bdc5-63b0268ada1b,,081fc8bb-1fcc-40a5-8f26-4c80aa0ba189,,,,dispatched
prostt5,3,bench-v1-K3-v226-lineage-prostt5,c0ae5b69-d6dc-41cf-a711-1739d3d2e170,,f186a76e-12a9-41f4-bde0-29fea2830f46,,,,dispatched
prostt5,5,bench-v1-K5-v226-lineage-prostt5,c0ae5b69-d6dc-41cf-a711-1739d3d2e170,,b527f22b-f196-4e2a-9183-42e035ccf636,,,,dispatched
prostt5,10,bench-v1-K10-v226-lineage-prostt5,c0ae5b69-d6dc-41cf-a711-1739d3d2e170,,4d828950-14a8-4def-a4e1-f8df98f6dd35,,,,dispatched
ankh_base,3,bench-v1-K3-v226-lineage-ankh_base,08234f06-ba76-4d7d-aaec-ae601096b4fa,,cbff0028-c2c6-486a-99b4-ec24f64779bd,,,,dispatched
ankh_base,5,bench-v1-K5-v226-lineage-ankh_base,08234f06-ba76-4d7d-aaec-ae601096b4fa,,5716b222-336d-45fb-ad63-22f02c17b868,,,,dispatched
ankh_base,10,bench-v1-K10-v226-lineage-ankh_base,08234f06-ba76-4d7d-aaec-ae601096b4fa,,6ac0bfd6-2ca7-4de4-931a-4866407ddbc4,,,,dispatched
ankh_large,3,bench-v1-K3-v226-lineage-ankh_large,238f79b1-3068-4c6f-9013-5cc52b4f662b,,7e283991-c389-46e2-93ce-f9564ff27298,,,,dispatched
ankh_large,5,bench-v1-K5-v226-lineage-ankh_large,238f79b1-3068-4c6f-9013-5cc52b4f662b,,d572c2d1-fae1-4362-b63d-9052a58887a8,,,,dispatched
ankh_large,10,bench-v1-K10-v226-lineage-ankh_large,238f79b1-3068-4c6f-9013-5cc52b4f662b,,d89daaae-0a93-4075-87a2-fe0d3a7776c3,,,,dispatched
esmc_600m,3,bench-v1-K3-v226-lineage-esmc_600m,2bf1e753-022f-44b8-a131-9a90acb4024e,,668a60f5-e26e-439d-9d11-4e27a0c43b25,,,,dispatched
esmc_600m,5,bench-v1-K5-v226-lineage-esmc_600m,2bf1e753-022f-44b8-a131-9a90acb4024e,,68ea24ee-465e-4274-a139-3ae4d832334c,,,,dispatched
esmc_600m,10,bench-v1-K10-v226-lineage-esmc_600m,2bf1e753-022f-44b8-a131-9a90acb4024e,,af92b560-f567-4649-b2d7-e5f134bb5aa0,,,,dispatched
