plm,k,cell,objective,seed,fmax,auprc,smin,wall_seconds,status
ankh_base,3,nk-bpo,binary,42,0.6358071534368428,,,20.4,ok
ankh_base,3,nk-cco,binary,42,0.8124716114524689,,,7.0,ok
ankh_base,3,nk-mfo,binary,42,0.7653197979803539,,,27.1,ok
ankh_base,3,lk-bpo,binary,42,0.7021342944357153,,,12.5,ok
ankh_base,3,lk-cco,binary,42,0.8091352580112072,,,13.8,ok
ankh_base,3,lk-mfo,binary,42,0.7165511617245678,,,11.2,ok
ankh_base,3,pk-bpo,binary,42,0.34555595197901456,,,465.1,ok
ankh_base,3,pk-cco,binary,42,0.3695452146647301,,,229.4,ok
ankh_base,3,pk-mfo,binary,42,0.4365912873784381,,,132.2,ok
ankh_base,3,nk-bpo,lambdarank,42,0.5699459164058618,,,7.0,ok
ankh_base,3,nk-cco,lambdarank,42,0.7873616975616908,,,5.5,ok
ankh_base,3,nk-mfo,lambdarank,42,0.6858786032466841,,,6.4,ok
ankh_base,3,lk-bpo,lambdarank,42,0.6854303152092716,,,7.8,ok
ankh_base,3,lk-cco,lambdarank,42,0.7363323080449496,,,6.2,ok
ankh_base,3,lk-mfo,lambdarank,42,0.6689617316699394,,,6.6,ok
ankh_base,3,pk-bpo,lambdarank,42,0.2211361011571763,,,189.8,ok
ankh_base,3,pk-cco,lambdarank,42,0.3398460949079346,,,142.5,ok
ankh_base,3,pk-mfo,lambdarank,42,0.19113657850275,,,54.6,ok
ankh_base,5,nk-bpo,binary,42,0.5868304926342086,,,5.8,ok
ankh_base,5,nk-cco,binary,42,0.7317788052894341,,,4.2,ok
ankh_base,5,nk-mfo,binary,42,0.7452900306844698,,,3.8,ok
ankh_base,5,lk-bpo,binary,42,0.6582427044995371,,,4.1,ok
ankh_base,5,lk-cco,binary,42,0.752187128179691,,,3.0,ok
ankh_base,5,lk-mfo,binary,42,0.6873114012220319,,,3.3,ok
ankh_base,5,pk-bpo,binary,42,0.32746863552677774,,,30.3,ok
ankh_base,5,pk-cco,binary,42,0.27759748864896927,,,40.1,ok
ankh_base,5,pk-mfo,binary,42,0.45315963033447243,,,11.6,ok
ankh_base,5,nk-bpo,lambdarank,42,0.5157362206194104,,,4.1,ok
ankh_base,5,nk-cco,lambdarank,42,0.6783715219372543,,,6.7,ok
ankh_base,5,nk-mfo,lambdarank,42,0.6794545279265363,,,4.3,ok
ankh_base,5,lk-bpo,lambdarank,42,0.6012681511722985,,,3.3,ok
ankh_base,5,lk-cco,lambdarank,42,0.7586267432819096,,,2.1,ok
ankh_base,5,lk-mfo,lambdarank,42,0.6902325476192747,,,11.2,ok
ankh_base,5,pk-bpo,lambdarank,42,0.3443718029695236,,,37.9,ok
ankh_base,5,pk-cco,lambdarank,42,0.4551118763961868,,,44.6,ok
ankh_base,5,pk-mfo,lambdarank,42,0.2965684409890337,,,11.7,ok
ankh_base,10,nk-bpo,binary,42,0.5784415058090119,,,37.4,ok
ankh_base,10,nk-cco,binary,42,0.784360844973005,,,15.6,ok
ankh_base,10,nk-mfo,binary,42,0.7474084054073413,,,18.8,ok
ankh_base,10,lk-bpo,binary,42,0.6379087422111162,,,27.1,ok
ankh_base,10,lk-cco,binary,42,0.773911473020953,,,12.0,ok
ankh_base,10,lk-mfo,binary,42,0.7059356432491859,,,16.9,ok
ankh_base,10,pk-bpo,binary,42,0.23751210701135236,,,557.7,ok
ankh_base,10,pk-cco,binary,42,0.24579529226632996,,,302.4,ok
ankh_base,10,pk-mfo,binary,42,0.38180143996233235,,,109.9,ok
ankh_base,10,nk-bpo,lambdarank,42,0.5841508317421433,,,24.2,ok
ankh_base,10,nk-cco,lambdarank,42,0.7755640892084534,,,6.3,ok
ankh_base,10,nk-mfo,lambdarank,42,0.6884730369694051,,,8.7,ok
ankh_base,10,lk-bpo,lambdarank,42,0.6329421705248471,,,22.0,ok
ankh_base,10,lk-cco,lambdarank,42,0.7577715704361567,,,6.9,ok
ankh_base,10,lk-mfo,lambdarank,42,0.672452291034793,,,10.1,ok
ankh_base,10,pk-bpo,lambdarank,42,0.23529128319962053,,,337.6,ok
ankh_base,10,pk-cco,lambdarank,42,0.39309490188811236,,,231.3,ok
ankh_base,10,pk-mfo,lambdarank,42,0.1638694685822095,,,86.6,ok
ankh_large,3,nk-bpo,binary,42,,,,0.0,failed
ankh_large,3,nk-cco,binary,42,,,,0.0,failed
ankh_large,3,nk-mfo,binary,42,,,,0.0,failed
ankh_large,3,lk-bpo,binary,42,,,,0.0,failed
ankh_large,3,lk-cco,binary,42,,,,0.0,failed
ankh_large,3,lk-mfo,binary,42,,,,0.0,failed
ankh_large,3,pk-bpo,binary,42,,,,0.0,failed
ankh_large,3,pk-cco,binary,42,,,,0.0,failed
ankh_large,3,pk-mfo,binary,42,,,,0.0,failed
ankh_large,3,nk-bpo,lambdarank,42,,,,0.0,failed
ankh_large,3,nk-cco,lambdarank,42,,,,0.0,failed
ankh_large,3,nk-mfo,lambdarank,42,,,,0.0,failed
ankh_large,3,lk-bpo,lambdarank,42,,,,0.0,failed
ankh_large,3,lk-cco,lambdarank,42,,,,0.0,failed
ankh_large,3,lk-mfo,lambdarank,42,,,,0.0,failed
ankh_large,3,pk-bpo,lambdarank,42,,,,0.0,failed
ankh_large,3,pk-cco,lambdarank,42,,,,0.0,failed
ankh_large,3,pk-mfo,lambdarank,42,,,,0.0,failed
ankh_large,5,nk-bpo,binary,42,0.6072492433111647,,,17.0,ok
ankh_large,5,nk-cco,binary,42,0.7920396110726234,,,8.3,ok
ankh_large,5,nk-mfo,binary,42,0.7636378943921527,,,8.2,ok
