plm,k,regime,aspect,cell,f_micro_w,n_proteins,status
ankh_base,3,lk,bpo,lk-bpo,0.5874180776245016,307,ok
ankh_base,3,lk,cco,lk-cco,0.6165394213725258,181,ok
ankh_base,3,lk,mfo,lk-mfo,0.5820490774353769,180,ok
ankh_base,3,nk,bpo,nk-bpo,0.4753514713346443,354,ok
ankh_base,3,nk,cco,nk-cco,0.568639578818491,161,ok
ankh_base,3,nk,mfo,nk-mfo,0.5892139737056874,243,ok
ankh_base,3,pk,bpo,pk-bpo,0.15015439380911272,2382,ok
ankh_base,3,pk,cco,pk-cco,0.33835614360867966,809,ok
ankh_base,3,pk,mfo,pk-mfo,0.4128729959764965,1057,ok
ankh_base,5,lk,bpo,lk-bpo,0.38814947681233813,124,ok
ankh_base,5,lk,cco,lk-cco,0.3930868480207712,69,ok
ankh_base,5,lk,mfo,lk-mfo,0.405342264007391,90,ok
ankh_base,5,nk,bpo,nk-bpo,0.2512183173247683,145,ok
ankh_base,5,nk,cco,nk-cco,0.3285196698483125,60,ok
ankh_base,5,nk,mfo,nk-mfo,0.4287042720425234,99,ok
ankh_base,5,pk,bpo,pk-bpo,0.14574274202849646,942,ok
ankh_base,5,pk,cco,pk-cco,0.2976901243039491,308,ok
ankh_base,5,pk,mfo,pk-mfo,0.3733014634534186,401,ok
ankh_base,10,lk,bpo,lk-bpo,0.5421562509440959,307,ok
ankh_base,10,lk,cco,lk-cco,0.570458499544222,181,ok
ankh_base,10,lk,mfo,lk-mfo,0.5557385062964357,180,ok
ankh_base,10,nk,bpo,nk-bpo,0.43368335358687393,354,ok
ankh_base,10,nk,cco,nk-cco,0.5197385252834371,161,ok
ankh_base,10,nk,mfo,nk-mfo,0.5528978656674226,243,ok
ankh_base,10,pk,bpo,pk-bpo,0.14728051956365804,2382,ok
ankh_base,10,pk,cco,pk-cco,0.3214927621992107,809,ok
ankh_base,10,pk,mfo,pk-mfo,0.38165199207051115,1057,ok
ankh_large,3,lk,bpo,lk-bpo,0.558819581661795,77,ok
ankh_large,3,lk,cco,lk-cco,0.3310303871348579,45,ok
ankh_large,3,lk,mfo,lk-mfo,0.034735691546385006,42,ok
ankh_large,3,nk,bpo,nk-bpo,,84,no_positives
ankh_large,3,nk,cco,nk-cco,0.3511824412727148,37,ok
ankh_large,3,nk,mfo,nk-mfo,0.2923175624870886,71,ok
ankh_large,3,pk,bpo,pk-bpo,0.12399816653956316,621,ok
ankh_large,3,pk,cco,pk-cco,0.19033942288731667,239,ok
ankh_large,3,pk,mfo,pk-mfo,0.312295040090067,256,ok
ankh_large,5,lk,bpo,lk-bpo,0.5489456242129889,307,ok
ankh_large,5,lk,cco,lk-cco,0.6085513269113414,181,ok
ankh_large,5,lk,mfo,lk-mfo,0.5714993218745451,180,ok
ankh_large,5,nk,bpo,nk-bpo,0.4520087033203446,354,ok
ankh_large,5,nk,cco,nk-cco,0.5513609035307853,161,ok
ankh_large,5,nk,mfo,nk-mfo,0.5787075787546818,243,ok
ankh_large,5,pk,bpo,pk-bpo,0.14918932774008786,2382,ok
ankh_large,5,pk,cco,pk-cco,0.32763915290590273,809,ok
ankh_large,5,pk,mfo,pk-mfo,0.40077734935936327,1057,ok
ankh_large,10,lk,bpo,lk-bpo,0.517131583860179,307,ok
ankh_large,10,lk,cco,lk-cco,0.589563694659097,181,ok
ankh_large,10,lk,mfo,lk-mfo,0.5521544136524784,180,ok
ankh_large,10,nk,bpo,nk-bpo,0.4211886118992081,354,ok
ankh_large,10,nk,cco,nk-cco,0.5213559374588256,161,ok
ankh_large,10,nk,mfo,nk-mfo,0.5636294959747906,243,ok
ankh_large,10,pk,bpo,pk-bpo,0.14892085055465215,2382,ok
ankh_large,10,pk,cco,pk-cco,0.3226602383085603,809,ok
ankh_large,10,pk,mfo,pk-mfo,0.3836349904119701,1057,ok
esm2_150m,3,lk,bpo,lk-bpo,0.5927390961966971,307,ok
esm2_150m,3,lk,cco,lk-cco,0.6047379050303942,181,ok
esm2_150m,3,lk,mfo,lk-mfo,0.5870331541492224,180,ok
esm2_150m,3,nk,bpo,nk-bpo,0.47960911017287955,354,ok
esm2_150m,3,nk,cco,nk-cco,0.575690403695216,161,ok
esm2_150m,3,nk,mfo,nk-mfo,0.5991310913337222,243,ok
esm2_150m,3,pk,bpo,pk-bpo,0.14933290185550765,2382,ok
esm2_150m,3,pk,cco,pk-cco,0.3349643288129565,809,ok
esm2_150m,3,pk,mfo,pk-mfo,0.41338593017170416,1057,ok
esm2_150m,5,lk,bpo,lk-bpo,0.5764279747709565,307,ok
esm2_150m,5,lk,cco,lk-cco,0.5915851291266915,181,ok
esm2_150m,5,lk,mfo,lk-mfo,0.5742259517574841,180,ok
esm2_150m,5,nk,bpo,nk-bpo,0.45975579827738233,354,ok
esm2_150m,5,nk,cco,nk-cco,0.5476685868916542,161,ok
esm2_150m,5,nk,mfo,nk-mfo,0.580785911323012,243,ok
esm2_150m,5,pk,bpo,pk-bpo,0.14723661449652742,2382,ok
esm2_150m,5,pk,cco,pk-cco,0.3271706627822774,809,ok
esm2_150m,5,pk,mfo,pk-mfo,0.39676429778388084,1057,ok
esm2_150m,10,lk,bpo,lk-bpo,0.5377591919492697,307,ok
esm2_150m,10,lk,cco,lk-cco,0.5621462148662625,181,ok
esm2_150m,10,lk,mfo,lk-mfo,0.5508991678598318,180,ok
esm2_150m,10,nk,bpo,nk-bpo,0.409613722341321,354,ok
esm2_150m,10,nk,cco,nk-cco,0.5283618555078816,161,ok
esm2_150m,10,nk,mfo,nk-mfo,0.554439009784365,243,ok
esm2_150m,10,pk,bpo,pk-bpo,0.14595252232932057,2382,ok
esm2_150m,10,pk,cco,pk-cco,0.31690213312297993,809,ok
esm2_150m,10,pk,mfo,pk-mfo,0.37665550417867083,1057,ok
esm2_3b,3,lk,bpo,lk-bpo,0.5556221575001594,307,ok
esm2_3b,3,lk,cco,lk-cco,0.5833981903658967,181,ok
esm2_3b,3,lk,mfo,lk-mfo,0.5813480327901188,180,ok
esm2_3b,3,nk,bpo,nk-bpo,0.46588344109599233,354,ok
esm2_3b,3,nk,cco,nk-cco,0.560458671073021,161,ok
esm2_3b,3,nk,mfo,nk-mfo,0.6060336990788139,243,ok
esm2_3b,3,pk,bpo,pk-bpo,0.14780527504514812,2382,ok
esm2_3b,3,pk,cco,pk-cco,0.33016575758430294,809,ok
esm2_3b,3,pk,mfo,pk-mfo,0.4088477444063358,1057,ok
esm2_3b,5,lk,bpo,lk-bpo,0.5422295053286149,307,ok
esm2_3b,5,lk,cco,lk-cco,0.5649012528303827,181,ok
esm2_3b,5,lk,mfo,lk-mfo,0.567070115373608,180,ok
esm2_3b,5,nk,bpo,nk-bpo,0.41702762818903605,354,ok
esm2_3b,5,nk,cco,nk-cco,0.5271170481824687,161,ok
esm2_3b,5,nk,mfo,nk-mfo,0.5675142730007939,243,ok
esm2_3b,5,pk,bpo,pk-bpo,0.14425217001638693,2382,ok
esm2_3b,5,pk,cco,pk-cco,0.31830080673787814,809,ok
esm2_3b,5,pk,mfo,pk-mfo,0.39146129010918,1057,ok
esm2_3b,10,lk,bpo,lk-bpo,0.4823631596704536,307,ok
esm2_3b,10,lk,cco,lk-cco,0.5256996765181453,181,ok
esm2_3b,10,lk,mfo,lk-mfo,0.532584361179788,180,ok
esm2_3b,10,nk,bpo,nk-bpo,0.3724983620099539,354,ok
esm2_3b,10,nk,cco,nk-cco,0.4611699449882212,161,ok
